GEOID,tri
060371836102,15.556
060374308032,23.452
060374013031,204.651
060374013041,74.88
060374013042,86.238
060371897011,149.141
060374638004,80.635
060371433003,10.863
060371380003,101.124
060374614002,83.042
060373015011,76.164
060710097121,9.592
060710097122,10.0
060710097123,13.454
060710097131,3.464
060371393031,18.574
060374613002,111.665
060374045042,23.302
060374056004,29.086
060371283021,8.367
060374069011,18.166
060371230202,25.632
060371343041,22.76
060371316002,0.0
060371048102,64.156
060710071062,57.026
060710071063,57.026
060710071071,87.926
060371042013,40.939
060379203133,98.438
060379200321,225.315
060371173011,92.19
060375747001,5.831
060379104041,71.253
060375764021,19.975
060375730021,21.331
060374006031,466.408
060372962103,52.688
060730083062,74.726
060376500044,7.681
060375723011,9.798
060375766022,4.243
060376504015,27.459
060379800281,6.403
060375421033,28.566
060290052015,336.596
060290052043,179.485
060710083022,110.413
060710084011,48.052
060710084012,43.255
060710084013,41.304
060710084014,29.034
060710084015,50.675
060290054011,13.601
060290054012,14.491
060290054013,10.77
060290054014,17.833
060290054015,6.325
060290054021,15.78
060290054022,10.954
060290054023,22.804
060290054031,32.542
060290054032,16.523
060290054033,30.265
060290054034,38.601
060710097132,21.378
060710097133,10.149
060710097134,7.937
060710097141,8.944
060372396021,9.055
060375416052,16.432
060372407003,13.0
060375002022,55.633
060372403001,14.177
060375357011,2.0
060376011003,24.352
060372764004,12.124
060372381003,12.41
060375339014,6.403
060376025041,8.66
060375015042,88.521
060375331061,14.697
060372376003,9.0
060375326062,14.697
060372324005,9.644
060376025071,8.66
060376025092,8.0
060290054035,19.672
060290054041,46.4
060290054042,16.492
060290054043,26.115
060290054044,26.476
060290055012,24.779
060290055014,19.494
060290055015,50.912
060375712005,9.165
060375531002,11.489
060375428003,4.69
060375503007,6.0
060376024021,3.464
060375417002,17.607
060376200013,62.626
060730083073,53.898
060730083101,142.478
060710072004,21.679
060375401014,12.61
060379302001,344.225
060290055011,20.025
060830029281,15.78
060290055072,10.817
060830029151,24.92
060830017041,74.873
060830017061,265.353
060830017063,252.012
060830023035,8.426
060830025023,297.825
060839801001,162.625
060839900000,0.0
060830003011,101.035
060375550021,0.0
060375438013,9.22
060372170021,25.632
060372170022,25.632
060375548012,11.533
060376041002,7.746
060376206014,20.149
060375432023,2.828
060290058022,14.422
060710097142,10.817
060710097143,10.344
060710097151,43.704
060710097152,25.768
060710097153,52.564
060710100213,50.577
060710100221,52.669
060290059001,18.921
060290059002,29.866
060290059003,53.217
060290061001,63.277
060710073051,27.677
060290061002,68.286
060290061003,49.386
060290061004,53.572
060290062011,5.196
060290063012,11.045
060290063031,11.489
060290063042,10.909
060290050043,8.124
060290064011,4.583
060590995092,0.0
060590995095,0.0
060590995113,1.732
060190069003,0.0
060190077003,0.0
060190084022,12.369
060190013031,10.536
060190020004,13.491
060190048022,5.099
060190054032,0.0
060190031033,0.0
060190002002,12.124
060290064015,7.348
060830003013,101.035
060290011022,47.021
060290019022,3.873
060290020001,10.677
060290038101,3.162
060290051042,156.307
060830003021,55.444
060830003022,55.444
060830003025,55.444
060830008045,84.487
060650449242,15.748
060650449232,15.748
060190002003,13.491
060190076001,0.0
060190076003,0.0
060190076004,6.403
060855054031,14.213
060855054032,15.588
060855054033,14.036
060855055001,9.849
060855068023,21.142
060855068033,27.203
060855068032,122.18
060855068041,106.724
060855068042,155.293
060855075003,45.022
060855081011,20.881
060855081013,19.235
060372164011,25.632
060372164012,25.632
060372164021,22.271
060375773004,3.317
060670093143,10.344
060670093251,5.0
060375768021,20.567
060670099004,1.0
060375744006,5.196
060375753003,18.221
060375723023,10.863
060375001002,120.578
060670008002,5.385
060375024011,14.387
060855081021,26.038
060855082021,23.431
060855082022,19.774
060855082023,19.774
060855055002,10.44
060375718003,61.237
060855056003,9.434
060855057001,9.644
060855057002,9.434
060855057003,11.832
060855069001,106.527
060290044011,5.745
060290044013,5.477
060290044021,2.828
060290045001,15.906
060290045002,10.344
061130105052,0.0
061130113002,3.0
061130112061,2.0
061130105092,2.449
061130105011,1.732
060871107002,77.852
060855075004,36.0
060376207021,61.717
061090052012,56.815
061099852021,98.321
060375705021,0.0
060375422002,8.66
060375542012,9.849
060375711011,8.66
060376026005,17.0
060375040011,28.636
060670070172,4.359
060376022001,0.0
060670085062,51.556
060375533002,11.958
060855057004,11.314
060855058001,11.832
060855058002,12.961
061150409012,3.464
061150406002,2.0
060670081343,19.339
060855069002,62.809
060374820022,86.186
060374821011,21.024
060374821012,62.984
060374821013,64.73
060374821021,21.142
060374821022,64.73
060374822022,52.335
060374640002,55.462
060830001011,82.262
060855076003,131.469
060855077011,31.733
060855077012,33.734
060670074211,9.434
060670074222,11.619
060670074232,10.198
060855044171,258.296
060830001013,62.53
060830001021,79.856
060830001024,78.594
060830001033,152.686
060830002001,65.719
060830002002,25.942
060855077013,34.713
060830029061,50.804
060830029063,55.027
060830029072,63.577
060830029091,76.085
060830029093,64.992
060855058003,12.961
060855058004,11.314
060855059001,10.583
060855059002,12.0
060855059003,12.0
060855059004,11.619
060855059005,11.619
060855060001,10.583
060855077021,90.067
060855077022,139.183
060871012003,62.968
060871004002,162.773
060871011004,32.016
060871008003,35.511
060855054012,16.0
060855054013,19.774
060855054015,14.213
060855054021,11.358
060670052021,4.583
060670055053,6.083
060670055092,7.416
060670056014,7.746
060670067013,5.385
060855060002,11.045
060855060003,11.045
060855060004,11.045
060855061011,14.526
060855061012,15.297
060855061013,14.036
060570001053,112.018
060290038053,8.0
060290038052,6.325
060290043011,5.477
060290043012,2.828
060290040001,4.472
060290044022,3.162
060290046042,3.873
060290050032,7.0
060855070013,83.295
060855070021,199.244
060816076001,27.893
060670074162,12.41
060670074213,4.69
060670074261,18.815
060670074271,12.247
060670074272,18.815
060670074273,18.466
060670074291,16.492
060670074292,7.0
060670074293,11.314
060855077032,45.111
060374823012,22.249
060374825221,36.973
060374825222,43.749
060374826001,106.752
060374826002,106.752
060374826003,58.966
060374826004,49.0
060830004002,188.26
060830004005,145.179
060830005013,155.258
060830005024,105.702
060830005025,83.409
060830005026,83.409
060830029132,40.62
060830029141,30.968
060830029142,13.077
060374827012,45.869
060670075011,13.928
060670075012,13.748
060670075013,13.748
060855061021,12.649
060855061022,13.964
060855061031,15.033
060855061033,14.697
060855061034,14.071
060855062021,21.84
060670075015,11.533
060670074241,9.0
060670075031,16.34
060670075032,9.327
060670075034,11.79
060670075041,9.644
061090022006,273.084
061090031005,283.023
061090041001,113.864
060855071002,83.534
061150403031,1.414
061150407001,2.236
060816085021,29.866
060374808042,87.693
060374809011,32.326
060374809021,22.316
060374809031,22.738
060374810011,27.423
060374810012,27.423
060374810021,31.369
060855062022,21.726
060855062023,24.819
060855062032,16.733
060855062041,16.733
060855062042,18.358
060591100083,0.0
060190014071,0.0
060855077035,193.355
060855078051,27.893
060830006002,209.292
060830006005,242.367
060830008012,204.47
060190026011,9.899
060190036005,3.162
060190064033,467.201
060190055131,11.18
060190045042,0.0
060190062012,7.874
060190062011,4.123
060190082001,2.0
060190070041,0.0
060190076002,2.449
060190080003,25.846
060190006003,10.392
060190003002,12.961
060855078052,48.518
060855078053,31.733
060830009002,29.967
060830010001,14.071
060830029131,40.62
060190012011,14.0
060190012012,11.916
